,100226_v2019_sA22-DBSCR15_eStrong,158878_v2015_sRTB13,158879_v2015_sRTB13,160491_v2015_sRTB13,BA_100226_v2019_sA22-DBSCR15_eStrong,SF_100226_v2019_sA22-DBSCR15_eStrong,ER_100226_v2019_sA22-DBSCR15_eStrong,HM_100226_v2019_sA22-DBSCR15_eStrong,BA_158878_v2015_sRTB13,SF_158878_v2015_sRTB13,ER_158878_v2015_sRTB13,HM_158878_v2015_sRTB13,BA_158879_v2015_sRTB13,SF_158879_v2015_sRTB13,ER_158879_v2015_sRTB13,HM_158879_v2015_sRTB13,BA_160491_v2015_sRTB13,SF_160491_v2015_sRTB13,ER_160491_v2015_sRTB13,HM_160491_v2015_sRTB13
100226_v2019_sA22-DBSCR15_eStrong,0.0,0.16257282246871424,0.16080508087056794,0.15673974849373393,0.33670910887424116,0.3062450207165232,0.2566271738720652,0.318067576734893,0.3464190992596106,0.32024015327758854,0.22680353116873087,0.318067576734893,0.34743264471579083,0.32071863240154797,0.25480307005762737,0.318067576734893,0.3708507374365981,0.336053861149229,0.2160953009990825,0.3284191969220798
158878_v2015_sRTB13,0.16257282246871424,0.0,0.024596776525522782,0.19159862037762815,0.3033948176959277,0.21129415547236535,0.3324839401740124,0.27284060686699907,0.30204745730252325,0.19874565888055612,0.2823546074778256,0.27284060686699907,0.29782301781470344,0.20135978857929993,0.31027640719479016,0.27284060686699907,0.276307135410864,0.22145398639059607,0.28077856910773574,0.25811745639352
158879_v2015_sRTB13,0.16080508087056794,0.024596776525522782,0.0,0.19192385437886356,0.3196880490562405,0.22373694539993427,0.33826934003176856,0.2872269682688311,0.3182924750126067,0.21301479096989004,0.2965039550123383,0.2872269682688311,0.31393087841030287,0.21091962889664362,0.31682895510022446,0.2872269682688311,0.2907678917967194,0.23383802440700968,0.29091786905793837,0.27124135286665546
160491_v2015_sRTB13,0.15673974849373393,0.19159862037762815,0.19192385437886356,0.0,0.37397051514652735,0.32785682884260015,0.2564934098023872,0.3019998735288396,0.3787710070539734,0.32606474776201977,0.23029827980241083,0.3019998735288396,0.3772065543992397,0.3258412372387904,0.23855103089935037,0.3019998735288396,0.36352553785019764,0.2933795127630272,0.15871438453471542,0.31128180315502907
BA_100226_v2019_sA22-DBSCR15_eStrong,0.33670910887424116,0.3033948176959277,0.3196880490562405,0.37397051514652735,0.0,0.2331358841016867,0.4259366219621909,0.30065803418748627,0.03228239915876399,0.23547401723567973,0.31934383956675316,0.30065803418748627,0.039418966769497917,0.2362251448541139,0.35213402504990804,0.30065803418748627,0.15410920227421904,0.25257819217750277,0.34203076325019455,0.2969874332801239
SF_100226_v2019_sA22-DBSCR15_eStrong,0.3062450207165232,0.21129415547236535,0.22373694539993427,0.32785682884260015,0.2331358841016867,0.0,0.37898000961952205,0.2580111118071085,0.226434834070054,0.01687187428794029,0.34010041424610316,0.2580111118071085,0.2179135929705863,0.01739358437200897,0.36699422965938644,0.2580111118071085,0.13141966313165085,0.0657734403651968,0.34153030424768,0.2322913173811216
ER_100226_v2019_sA22-DBSCR15_eStrong,0.2566271738720652,0.3324839401740124,0.33826934003176856,0.2564934098023872,0.4259366219621909,0.37898000961952205,0.0,0.4043640917580383,0.4367389996113032,0.3926147784511909,0.1828819990045332,0.4043640917580383,0.43731017697331354,0.3932777081325855,0.14232577095764232,0.4043640917580383,0.45068410673765824,0.41153948766928433,0.1657457430968274,0.4292101632724623
HM_100226_v2019_sA22-DBSCR15_eStrong,0.318067576734893,0.27284060686699907,0.2872269682688311,0.3019998735288396,0.30065803418748627,0.2580111118071085,0.4043640917580383,0.0,0.30131467620621544,0.25612280515523633,0.342909493066327,0.0,0.2994638394443777,0.2556726281064249,0.36783018094706793,0.0,0.27693082497356364,0.23660143604693287,0.332425955584408,0.09403266910428378
BA_158878_v2015_sRTB13,0.3464190992596106,0.30204745730252325,0.3182924750126067,0.3787710070539734,0.03228239915876399,0.226434834070054,0.4367389996113032,0.30131467620621544,0.0,0.22528774246999986,0.3311893936678081,0.30131467620621544,0.012349754239479437,0.2260503382041314,0.36264991293164583,0.30131467620621544,0.14200887214599248,0.24451937355126838,0.3527352523960672,0.2964114398298225
SF_158878_v2015_sRTB13,0.32024015327758854,0.19874565888055612,0.21301479096989004,0.32606474776201977,0.23547401723567973,0.01687187428794029,0.3926147784511909,0.25612280515523633,0.22528774246999986,0.0,0.32756716572866357,0.25612280515523633,0.21676527967917664,0.0036715828001783832,0.3562978875613375,0.25612280515523633,0.13042843087864328,0.06122084193217864,0.33975193529394737,0.22999140278437222
ER_158878_v2015_sRTB13,0.22680353116873087,0.2823546074778256,0.2965039550123383,0.23029827980241083,0.31934383956675316,0.34010041424610316,0.1828819990045332,0.342909493066327,0.3311893936678081,0.32756716572866357,0.0,0.342909493066327,0.3332705885091385,0.33066055482391987,0.06355816797591797,0.342909493066327,0.36890735264991703,0.35573449861532946,0.08597502184862482,0.3686435942256699
HM_158878_v2015_sRTB13,0.318067576734893,0.27284060686699907,0.2872269682688311,0.3019998735288396,0.30065803418748627,0.2580111118071085,0.4043640917580383,0.0,0.30131467620621544,0.25612280515523633,0.342909493066327,0.0,0.2994638394443777,0.2556726281064249,0.36783018094706793,0.0,0.27693082497356364,0.23660143604693287,0.332425955584408,0.09403266910428378
BA_158879_v2015_sRTB13,0.34743264471579083,0.29782301781470344,0.31393087841030287,0.3772065543992397,0.039418966769497917,0.2179135929705863,0.43731017697331354,0.2994638394443777,0.012349754239479437,0.21676527967917664,0.3332705885091385,0.2994638394443777,0.0,0.21736181766076562,0.36395952567936907,0.2994638394443777,0.13288955583250323,0.23632226743160636,0.35384354220413916,0.29328411273563265
SF_158879_v2015_sRTB13,0.32071863240154797,0.20135978857929993,0.21091962889664362,0.3258412372387904,0.2362251448541139,0.01739358437200897,0.3932777081325855,0.2556726281064249,0.2260503382041314,0.0036715828001783832,0.33066055482391987,0.2556726281064249,0.21736181766076562,0.0,0.35470765394721826,0.2556726281064249,0.130969794139379,0.06053628121338921,0.3396332624283749,0.22950652489028237
ER_158879_v2015_sRTB13,0.25480307005762737,0.31027640719479016,0.31682895510022446,0.23855103089935037,0.35213402504990804,0.36699422965938644,0.14232577095764232,0.36783018094706793,0.36264991293164583,0.3562978875613375,0.06355816797591797,0.36783018094706793,0.36395952567936907,0.35470765394721826,0.0,0.36783018094706793,0.3912646819602335,0.3825157590255573,0.09465324254418214,0.39520389594351835
HM_158879_v2015_sRTB13,0.318067576734893,0.27284060686699907,0.2872269682688311,0.3019998735288396,0.30065803418748627,0.2580111118071085,0.4043640917580383,0.0,0.30131467620621544,0.25612280515523633,0.342909493066327,0.0,0.2994638394443777,0.2556726281064249,0.36783018094706793,0.0,0.27693082497356364,0.23660143604693287,0.332425955584408,0.09403266910428378
BA_160491_v2015_sRTB13,0.3708507374365981,0.276307135410864,0.2907678917967194,0.36352553785019764,0.15410920227421904,0.13141966313165085,0.45068410673765824,0.27693082497356364,0.14200887214599248,0.13042843087864328,0.36890735264991703,0.27693082497356364,0.13288955583250323,0.130969794139379,0.3912646819602335,0.27693082497356364,0.0,0.14211591207838217,0.36688477046234746,0.25141892089459256
SF_160491_v2015_sRTB13,0.336053861149229,0.22145398639059607,0.23383802440700968,0.2933795127630272,0.25257819217750277,0.0657734403651968,0.41153948766928433,0.23660143604693287,0.24451937355126838,0.06122084193217864,0.35573449861532946,0.23660143604693287,0.23632226743160636,0.06053628121338921,0.3825157590255573,0.23660143604693287,0.14211591207838217,0.0,0.3110686942007065,0.2004452180113613
ER_160491_v2015_sRTB13,0.2160953009990825,0.28077856910773574,0.29091786905793837,0.15871438453471542,0.34203076325019455,0.34153030424768,0.1657457430968274,0.332425955584408,0.3527352523960672,0.33975193529394737,0.08597502184862482,0.332425955584408,0.35384354220413916,0.3396332624283749,0.09465324254418214,0.332425955584408,0.36688477046234746,0.3110686942007065,0.0,0.3509142391459356
HM_160491_v2015_sRTB13,0.3284191969220798,0.25811745639352,0.27124135286665546,0.31128180315502907,0.2969874332801239,0.2322913173811216,0.4292101632724623,0.09403266910428378,0.2964114398298225,0.22999140278437222,0.3686435942256699,0.09403266910428378,0.29328411273563265,0.22950652489028237,0.39520389594351835,0.09403266910428378,0.25141892089459256,0.2004452180113613,0.3509142391459356,0.0
